Ref,Val,Package,PosX,PosY,Rot,Side
"C1","22p","C_0603_1608Metric",106.060000,-119.380000,90.000000,top
"C2","4.7uF","C_0603_1608Metric",88.392000,-106.680000,90.000000,top
"C3","22p","C_0603_1608Metric",106.040000,-122.990000,-90.000000,top
"C4","470pF","C_0603_1608Metric",84.550000,-103.840000,0.000000,top
"C5","2.2uF","C_0603_1608Metric",81.690000,-106.810000,90.000000,top
"C6","4.7uF","C_0603_1608Metric",92.710000,-118.618000,-90.000000,top
"C7","10uF","C_0603_1608Metric",103.760000,-102.730000,-90.000000,top
"C8","4.7uF","C_0603_1608Metric",80.390000,-113.284000,0.000000,top
"C9","100pF","C_0603_1608Metric",77.040000,-113.284000,180.000000,top
"C10","0.1uF","C_0603_1608Metric",119.380000,-124.206000,90.000000,top
"C11","0.1uF","C_0603_1608Metric",89.929000,-125.984000,0.000000,top
"C12","0.1uF","C_0603_1608Metric",119.888000,-79.502000,180.000000,top
"C13","10nF","C_0603_1608Metric",92.070000,-92.880000,180.000000,top
"C14","0.1uF","C_0603_1608Metric",75.438000,-84.074000,0.000000,top
"C15","0.1uF","C_0603_1608Metric",103.780000,-99.390000,90.000000,top
"D1","D","D_SOD-323",92.710000,-114.554000,-90.000000,top
"D2","D","D_SOD-323",80.290000,-115.780000,180.000000,top
"D3","LED","LED_0201_0603Metric",113.030000,-76.454000,180.000000,top
"D4","LED","LED_0201_0603Metric",87.122000,-102.108000,0.000000,top
"D5","LED","LED_0201_0603Metric",88.392000,-116.586000,0.000000,top
"Q1","Q_NPN_EBC","SOT-23",101.260000,-111.012500,90.000000,top
"Q2","Q_NPN_EBC","SOT-23",97.330000,-110.982500,90.000000,top
"R1","R","R_0402_1005Metric",99.060000,-113.712500,180.000000,top
"R2","R","R_0402_1005Metric",96.850000,-113.742500,180.000000,top
"R3","4.7K","R_0402_1005Metric",97.790000,-70.104000,-90.000000,top
"R4","1K","R_0402_1005Metric",95.474000,-70.094000,-90.000000,top
"R5","R","R_0402_1005Metric",115.316000,-76.454000,0.000000,top
"R6","R","R_0402_1005Metric",86.760000,-103.632000,-90.000000,top
"R7","2K","R_0402_1005Metric",85.090000,-119.382000,-90.000000,top
"R8","470R","R_0402_1005Metric",86.360000,-116.332000,0.000000,top
"R9","4.7K","R_0402_1005Metric",95.850000,-95.500000,-90.000000,top
"R10","4.7K","R_0402_1005Metric",97.028000,-95.504000,-90.000000,top
"R11","470R","R_0402_1005Metric",107.950000,-70.358000,90.000000,top
"R12","1M","R_0402_1005Metric",79.800000,-110.236000,180.000000,top
"R13","10K","R_0402_1005Metric",115.824000,-120.514000,0.000000,top
"R14","1MR","R_0402_1005Metric",79.820000,-111.610000,180.000000,top
"R15","R","R_0402_1005Metric",104.802000,-94.488000,-90.000000,top
"R16","R","R_0402_1005Metric",106.122000,-94.488000,-90.000000,top
"R17","R","R_0402_1005Metric",103.452000,-94.488000,-90.000000,top
"R18","470R","R_0402_1005Metric",94.760000,-109.782500,90.000000,top
"R19","10K","R_0402_1005Metric",92.964000,-123.444000,-90.000000,top
"R20","10KR","R_0402_1005Metric",109.474000,-100.584000,90.000000,top
"R21","NC","R_0402_1005Metric",98.640000,-103.820000,180.000000,top
"R22","330R","R_0402_1005Metric",92.964000,-70.104000,90.000000,top
"R23","4.7K","R_0402_1005Metric",119.378000,-77.978000,0.000000,top
"R24","330R","R_0402_1005Metric",107.442000,-94.488000,-90.000000,top
"R25","4.7K","R_0402_1005Metric",76.200000,-82.550000,180.000000,top
"SW1","SW_Push","SW_Push_SPST_NO_Alps_SKRK",116.470000,-124.194000,90.000000,top
"SW2","SW_Push","SW_Push_SPST_NO_Alps_SKRK",89.916000,-128.778000,0.000000,top
"U1","MIC5219-3.3YM5","SOT-23-5",85.050000,-106.640000,180.000000,top
"U2","CH340G","SOIC-16_3.9x9.9mm_P1.27mm",99.314000,-120.904000,90.000000,top
"U3","MCP73832-5-OT","SOT-23-5",87.630000,-119.380000,90.000000,top
"U4","ESP32-WROOM-32D","ESP32-WROOM-32",99.710000,-82.070000,90.000000,top
"U5","MPU-6050","InvenSense_QFN-24_4x4mm_P0.5mm",99.710000,-100.330000,0.000000,top
"Y1","12Mhz","Crystal_SMD_HC49-SD",109.820000,-122.780000,-90.000000,top
